,,,,,,5,,,,,,,,
30,X3,5,143.9383227,168.5886633,69.37560489,94.19144162,,30,X3,5,138.9383227,173.5886633,64.37560489,99.19144162
31,X3,6,101.7259679,206.1782101,129.9199332,260.5022362,,31,X3,6,96.7259679,211.1782101,124.9199332,265.5022362
32,X3,7,141.1279955,170.9975952,309.502706,334.6444847,,32,X3,7,136.1279955,175.9975952,304.502706,339.6444847
33,X3,8,142.9231304,169.6184696,430.0212402,455.1633644,,33,X3,8,137.9231304,174.6184696,425.0212402,460.1633644
34,X3,9,19.71679547,59.72078645,269.6886233,531.5423456,,34,X3,9,14.71679547,64.72078645,264.6886233,536.5423456
35,X3,10,18.37142842,55.07076367,193.1573605,375.1677554,,35,X3,10,13.37142842,60.07076367,188.1573605,380.1677554
36,X3,11,24.518,52.93397914,148.2726823,172.3426339,,36,X3,11,19.518,57.93397914,143.2726823,177.3426339
37,X3,12,0,0,0,0,,37,X3,12,0,0,0,0
38,X3,13,18.32277113,52.25742944,48.37621734,104.893955,,38,X3,13,13.32277113,57.25742944,43.37621734,109.893955
39,X3,14,19.13560947,54.29695268,129.6984169,259.9603006,,39,X3,14,14.13560947,59.29695268,124.6984169,264.9603006
40,X3,15,22.288,48.94807886,310.1495051,334.5924344,,40,X3,15,17.288,53.94807886,305.1495051,339.5924344
41,X3,16,23.5483639,55.13925474,291.5566185,573.8746244,,41,X3,16,18.5483639,60.13925474,286.5566185,578.8746244
42,X4,1,953.9858852,973.2155799,-2.153537431,27.83006301,,42,X4,1,948.9858852,978.2155799,-7.153537431,32.83006301
43,X4,2,832.5500741,851.2313975,-1.99267469,28.09527004,,43,X4,2,827.5500741,856.2313975,-6.99267469,33.09527004
44,X4,3,710.4479405,729.5198967,-0.432180677,28.87412021,,44,X4,3,705.4479405,734.5198967,-5.432180677,33.87412021
45,X4,4,588.99104,608.2535135,-1.989591798,29.91773598,,45,X4,4,583.99104,613.2535135,-6.989591798,34.91773598
46,X4,5,467.2177066,488.2096493,-0.322759235,29.18954528,,46,X4,5,462.2177066,493.2096493,-5.322759235,34.18954528
47,X4,6,0,0,0,0,,47,X4,6,0,0,0,0
48,X4,7,0,0,0,0,,48,X4,7,0,0,0,0
49,X4,8,105.5335087,130.7833642,5.897865554,31.32732936,,49,X4,8,100.5335087,135.7833642,0.897865554,36.32732936
50,X4,9,0,0,0,0,,50,X4,9,0,0,0,0
51,X4,10,117.9510812,137.4957467,4.196554682,32.55426392,,51,X4,10,112.9510812,142.4957467,-0.803445318,37.55426392
52,X4,11,213.3033799,276.2463687,-60.89843417,104.6433918,,52,X4,11,208.3033799,281.2463687,-65.89843417,109.6433918
53,X4,12,360.0481828,379.2420079,3.640892503,33.81595866,,53,X4,12,355.0481828,384.2420079,-1.359107497,38.81595866
54,X4,13,481.3729394,500.4974606,8.43643393,34.17319397,,54,X4,13,476.3729394,505.4974606,3.43643393,39.17319397
55,X4,14,0,0,0,0,,55,X4,14,0,0,0,0
56,X4,15,0,0,0,0,,56,X4,15,0,0,0,0
57,X4,16,844.7553997,864.3819678,12.01341499,36.9889199,,57,X4,16,839.7553997,869.3819678,7.01341499,41.9889199
58,X4,17,0,0,0,0,,58,X4,17,0,0,0,0
59,X4,18,0,0,0,0,,59,X4,18,0,0,0,0
60,X4,19,0,0,0,0,,60,X4,19,0,0,0,0
61,X4,20,588.1398885,607.3273115,87.69844055,118.827992,,61,X4,20,583.1398885,612.3273115,82.69844055,123.827992
62,X4,21,0,0,0,0,,62,X4,21,0,0,0,0
63,X4,22,0,0,0,0,,63,X4,22,0,0,0,0
64,X4,23,184.9243161,282.8689118,89.47356478,121.4381189,,64,X4,23,179.9243161,287.8689118,84.47356478,126.4381189
65,X4,24,105.2575801,124.5570152,88.62335104,118.9548397,,65,X4,24,100.2575801,129.5570152,83.62335104,123.9548397
66,X4,25,-3.199061187,15.81854956,88.19079609,117.8064365,,66,X4,25,-8.199061187,20.81854956,83.19079609,122.8064365
67,X4,26,0,0,0,0,,67,X4,26,0,0,0,0
68,X4,27,238.5055277,257.1105514,87.20734014,118.9005947,,68,X4,27,233.5055277,262.1105514,82.20734014,123.9005947
69,X4,28,359.1115417,378.1986536,85.55479503,116.0143957,,69,X4,28,354.1115417,383.1986536,80.55479503,121.0143957
70,X4,29,478.6988653,503.9360147,81.62972729,115.3207192,,70,X4,29,473.6988653,508.9360147,76.62972729,120.3207192
71,X4,30,591.1546692,633.0809261,78.97945732,114.7715613,,71,X4,30,586.1546692,638.0809261,73.97945732,119.7715613
72,X4,31,723.7299593,741.1662639,83.70422734,114.0556099,,72,X4,31,718.7299593,746.1662639,78.70422734,119.0556099
73,X4,32,844.1800733,863.4456058,78.30445369,113.3286672,,73,X4,32,839.1800733,868.4456058,73.30445369,118.3286672
